Actions,الإجراءات,
Against Default Supplier,ضد المورد الافتراضي,
Amount,كمية,
Background Jobs,خلفية عن الخبرات السابقة,
Cannot ensure delivery by Serial No as Item {0} is added with and without Ensure Delivery by Serial No.,لا يمكن ضمان التسليم بواسطة Serial No حيث أن العنصر {0} مضاف مع وبدون ضمان التسليم بواسطة Serial No.,
Closed order cannot be cancelled. Unclose to cancel.,الطلب المغلق لايمكن إلغاؤه. ازالة الاغلاق لكي تتمكن من الالغاء,
Create,انشاء,
Creating Purchase Order ...,إنشاء أمر شراء ...,
Customer {0} does not belong to project {1},العميل {0} لا ينتمي الى المشروع {1}\n<br>\nCustomer {0} does not belong to project {1},
Delivery Notes {0} must be cancelled before cancelling this Sales Order,مذكرات التسليم {0} يجب أن يتم الغاؤها قبل الغاء أمر البيع هذا\n<br>\nDelivery Notes {0} must be cancelled before cancelling this Sales Order,
Delivery warehouse required for stock item {0},مستودع التسليم مطلوب للبند المستودعي {0}\n<br>\nDelivery warehouse required for stock item {0},
Expected Delivery Date should be after Sales Order Date,يجب أن يكون تاريخ التسليم المتوقع بعد تاريخ أمر المبيعات,
Item,"Item",
Item Code,رمز السلعة,
Item name,اسم السلعة,
Item {0} has no Serial No. Only serilialized items can have delivery based on Serial No,لا يحتوي العنصر {0} على رقم مسلسل. يمكن فقط تسليم العناصر المسلسلة بناءً على الرقم التسلسلي,
Items Required,العناصر المطلوبة,
Journal Entry,القيود اليومية,
Keyboard Shortcuts,اختصارات لوحة المفاتيح,
Logout,خروج,
Maintenance Schedule {0} must be cancelled before cancelling this Sales Order,يجب إلغاء الجدول الزمني للصيانة {0} قبل إلغاء طلب المبيعات,
Maintenance Visit {0} must be cancelled before cancelling this Sales Order,يجب إلغاء زيارة الصيانة {0} قبل إلغاء طلب المبيعات,
"Material Request not created, as quantity for Raw Materials already available.",لم يتم إنشاء طلب المواد ، ككمية للمواد الخام المتاحة بالفعل.,
No active BOM found for item {0}. Delivery by Serial No cannot be ensured,لم يتم العثور على BOM نشط للعنصر {0}. لا يمكن ضمان التسليم عن طريق الرقم التسلسلي,
Not Paid and Not Delivered,لم يتم الدفع ولم يتم التسليم,
Not permitted,غير مسموح به,
Note,"Note",
Orders,أوامر,
Paid,مدفوع,
Paid and Not Delivered,تم الدفع ولم يتم التسليم,
Payment Entry,تدوينات المدفوعات,
Pending Qty,الكمية التي قيد الانتظار,
Please enter Delivery Date,الرجاء إدخال تاريخ التسليم,
Please select BOM against item {0},الرجاء اختيار بوم ضد العنصر {0},
Please select Qty against item {0},الرجاء اختيار الكمية ضد العنصر {0},
Please set a Supplier against the Items to be considered in the Purchase Order.,يرجى تعيين مورد مقابل العناصر التي يجب مراعاتها في أمر الشراء.,
Price,"Price",
Purchase Invoice,فاتورة شراء,
Purchase Order,أمر الشراء,
Purchasing,المشتريات,
Qty,الكمية,
Quotation {0} is cancelled,العرض المسعر {0} تم إلغائه,
Quotation {0} not of type {1},عرض مسعر {0} ليس من النوع {1},
Reload,تحديث,
Row #{0}: Expected Delivery Date cannot be before Purchase Order Date,الصف # {0}: تاريخ التسليم المتوقع لا يمكن أن يكون قبل تاريخ أمر الشراء,
Row #{0}: Not allowed to change Supplier as Purchase Order already exists,الصف رقم {0}: غير مسموح تغيير المورد لأن أمر الشراء موجود مسبقاً\n<br>\nRow #{0}: Not allowed to change Supplier as Purchase Order already exists,
Row #{0}: Set Supplier for item {1},الصف # {0}: حدد المورد للبند {1},
Sales Invoice,فاتورة مبيعات,
Sales Invoice {0} must be cancelled before cancelling this Sales Order,فاتورة المبيعات {0} يجب أن يتم إلغاء هذا الأمر قبل إلغاء المبيعات,
Sales Order,طلب المبيعات,
Select Items,اختيار العناصر,
Selling,المبيعات,
Session Defaults,الجلسة الافتراضية,
Stock,المخازن,
Supplier,مورد,
Tasks,المهام,
Total,الاجمالي غير شامل الضريبة,
Transactions,المعاملات,
UOM,وحدة القياس,
View Website,مشاهدة الموقع,
Warning,تحذير,
Warning: Sales Order {0} already exists against Customer's Purchase Order {1},تحذير: أمر البيع {0} موجود مسبقاً لأمر الشراء الخاص بالعميل {1}\n<br>\nWarning: Sales Order {0} already exists against Customer's Purchase Order {1},
Work Order {0} must be cancelled before cancelling this Sales Order,يجب إلغاء طلب العمل {0} قبل إلغاء أمر المبيعات هذا,
{0} {1} has been modified. Please refresh.,تم تعديل {0} {1}، يرجى تحديث الصفحة من المتصفح,
